id,email,role
1,admin@gmail.com,admin
2,teacher1@gmail.com,teacher
3,teacher2@gmail.com,teacher
4,teacher3@gmail.com,teacher
5,teacher4@gmail.com,teacher
6,teacher5@gmail.com,teacher
7,solomon@gmail.com,student
8,cervantes@gmail.com,student
9,johnson@gmail.com,student
10,larson@gmail.com,student
11,burns@gmail.com,student
12,williams@gmail.com,student
13,gonzalez@gmail.com,student
14,smith@gmail.com,student
15,dennis@gmail.com,student
16,hogan@gmail.com,student
17,mora@gmail.com,student
18,oconnell@gmail.com,student
19,cooper@gmail.com,student
20,moore@gmail.com,student
21,harris@gmail.com,student
22,murphy@gmail.com,student
23,hammond@gmail.com,student
24,estes@gmail.com,student
25,rodriguez@gmail.com,student
26,hernandez@gmail.com,student
27,ward@gmail.com,student
28,logan@gmail.com,student
29,doyle@gmail.com,student
30,powers@gmail.com,student
31,mason@gmail.com,student
32,ray@gmail.com,student
33,rhodes@gmail.com,student
34,howard@gmail.com,student
35,kelly@gmail.com,student
36,morton@gmail.com,student
37,wolfe@gmail.com,student
38,jackson@gmail.com,student
39,fuller@gmail.com,student
40,wilson@gmail.com,student
41,ochoa@gmail.com,student
42,turner@gmail.com,student
43,evans@gmail.com,student
44,hall@gmail.com,student
45,lyons@gmail.com,student
46,torres@gmail.com,student
47,miller@gmail.com,student
48,higgins@gmail.com,student
49,wright@gmail.com,student
50,foley@gmail.com,student
51,downs@gmail.com,student
